*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 3462745828
40000
1
root: 36251
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1311.63
Iter 23800000, Residual:0.0155381
Iter 23840000, Residual:0.0166264
Iter 23880000, Residual:0.0155298
Iter 23920000, Residual:0.0159068
Iter 23960000, Residual:0.0156578
Iter 24000000, Residual:0.0154792
Iter 24040000, Residual:0.0149395
Iter 24080000, Residual:0.0204322
Iter 24120000, Residual:0.0171168
Iter 24160000, Residual:0.0188391
Iter 24200000, Residual:0.0178979
Iter 24240000, Residual:0.0352997
Iter 24280000, Residual:0.0159049
Iter 24320000, Residual:0.012872
Iter 24360000, Residual:0.0118336
Iter 24400000, Residual:0.0118452
Iter 24440000, Residual:0.0113666
Iter 24480000, Residual:0.0116174
Iter 24520000, Residual:0.0113044
Iter 24560000, Residual:0.0111681
Iter 24600000, Residual:0.010639
Iter 24640000, Residual:0.0105035
Iter 24680000, Residual:0.0108606
Iter 24720000, Residual:0.0114846
Iter 24760000, Residual:0.0109599
Iter 24800000, Residual:0.0105276
Iter 24840000, Residual:0.0110423
Iter 24880000, Residual:0.0109044
Iter 24920000, Residual:0.0108491
Iter 24960000, Residual:0.0110521
Iter 25000000, Residual:0.0113687
Iter 25040000, Residual:0.0113815
Iter 25080000, Residual:0.0103406
Iter 25120000, Residual:0.0117006
Iter 25160000, Residual:0.00994136
Iter 25200000, Residual:0.0118313
Iter 25240000, Residual:0.00965575
Iter 25280000, Residual:0.00977155
Iter 25320000, Residual:0.00895398
Iter 25360000, Residual:0.00929497
Iter 25400000, Residual:0.0163694
Iter 25440000, Residual:0.0118261
Iter 25480000, Residual:0.00881065
Iter 25520000, Residual:0.0109819
Iter 25560000, Residual:0.00823151
Iter 25600000, Residual:0.00833011
Iter 25640000, Residual:0.00895153
Iter 25680000, Residual:0.00861753
Iter 25720000, Residual:0.00895234
Iter 25760000, Residual:0.00860265
Iter 25800000, Residual:0.00853511
Iter 25840000, Residual:0.00799482
Iter 25880000, Residual:0.00819616
Iter 25920000, Residual:0.0086207
Iter 25960000, Residual:0.00839788
Iter 26000000, Residual:0.00791648
Iter 26040000, Residual:0.00802718
Iter 26080000, Residual:0.00806075
Iter 26120000, Residual:0.00823527
Iter 26160000, Residual:0.00791674
Iter 26200000, Residual:0.00871349
Iter 26240000, Residual:0.00838046
Iter 26280000, Residual:0.00908586
Iter 26320000, Residual:0.00830689
Iter 26360000, Residual:0.00776628
Iter 26400000, Residual:0.00767536
Iter 26440000, Residual:0.00867577
Iter 26480000, Residual:0.00786945
Iter 26520000, Residual:0.00778782
Iter 26560000, Residual:0.00826537
Iter 26600000, Residual:0.0129363
Iter 26640000, Residual:0.00734864
Iter 26680000, Residual:0.00749018
Iter 26720000, Residual:0.00752613
Iter 26760000, Residual:0.00726407
Iter 26800000, Residual:0.00723343
Iter 26840000, Residual:0.00779493
Iter 26880000, Residual:0.00729358
Iter 26920000, Residual:0.00712581
Iter 26960000, Residual:0.00744983
Iter 27000000, Residual:0.0078775
Iter 27040000, Residual:0.0069351
Iter 27080000, Residual:0.00660609
Iter 27120000, Residual:0.00653147
Iter 27160000, Residual:0.00738901
Iter 27200000, Residual:0.00677045
Iter 27240000, Residual:0.00639145
Iter 27280000, Residual:0.00679054
Iter 27320000, Residual:0.00743147
Iter 27360000, Residual:0.00686036
Iter 27400000, Residual:0.0129903
Iter 27440000, Residual:0.00704741
Iter 27480000, Residual:0.00698247
Iter 27520000, Residual:0.0063835
Iter 27560000, Residual:0.00693474
Iter 27600000, Residual:0.00674657
Iter 27640000, Residual:0.00630514
Iter 27680000, Residual:0.0131432
Iter 27720000, Residual:0.00648256
Iter 27760000, Residual:0.00633259
Iter 27800000, Residual:0.00636241
Iter 27840000, Residual:0.00671083
Iter 27880000, Residual:0.00608972
Iter 27920000, Residual:0.00589137
Iter 27960000, Residual:0.00590355
Iter 28000000, Residual:0.00556518
Iter 28040000, Residual:0.00837847
Iter 28080000, Residual:0.00575306
Iter 28120000, Residual:0.00632404
Iter 28160000, Residual:0.00539407
Iter 28200000, Residual:0.00542193
Iter 28240000, Residual:0.00522929
Iter 28280000, Residual:0.00554124
Iter 28320000, Residual:0.00883267
Iter 28360000, Residual:0.00607296
Iter 28400000, Residual:0.00729809
Iter 28440000, Residual:0.00689735
Iter 28480000, Residual:0.00553
Iter 28520000, Residual:0.00517495
Iter 28560000, Residual:0.00517966
Iter 28600000, Residual:0.00461558
Iter 28640000, Residual:0.00471351
Iter 28680000, Residual:0.00451508
Iter 28720000, Residual:0.00433998
Iter 28760000, Residual:0.00510952
Iter 28800000, Residual:0.00507479
Iter 28840000, Residual:0.00473866
Iter 28880000, Residual:0.00464838
Iter 28920000, Residual:0.00461529
Iter 28960000, Residual:0.00451861
Iter 29000000, Residual:0.00444496
Iter 29040000, Residual:0.00483293
Iter 29080000, Residual:0.00501854
Iter 29120000, Residual:0.00427351
Iter 29160000, Residual:0.00508809
Iter 29200000, Residual:0.00448619
Iter 29240000, Residual:0.00444454
Iter 29280000, Residual:0.00425918
Iter 29320000, Residual:0.00408264
Iter 29360000, Residual:0.00404737
Iter 29400000, Residual:0.00412173
Iter 29440000, Residual:0.00419308
Iter 29480000, Residual:0.00449759
Iter 29520000, Residual:0.00392076
Iter 29560000, Residual:0.00424445
Iter 29600000, Residual:0.00415186
Iter 29640000, Residual:0.00428185
Iter 29680000, Residual:0.00390994
Iter 29720000, Residual:0.00373845
Iter 29760000, Residual:0.00421174
Iter 29800000, Residual:0.00419025
Iter 29840000, Residual:0.00378489
Iter 29880000, Residual:0.00397452
Iter 29920000, Residual:0.00421084
Iter 29960000, Residual:0.0036545
Iter 30000000, Residual:0.00468204
