*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 18760000, Residual:0.0080517
Iter 18800000, Residual:0.00745643
Iter 18840000, Residual:0.00725942
Iter 18880000, Residual:0.0072606
Iter 18920000, Residual:0.00738419
Iter 18960000, Residual:0.00704807
Iter 19000000, Residual:0.0075827
Iter 19040000, Residual:0.00742741
Iter 19080000, Residual:0.00755194
Iter 19120000, Residual:0.007973
Iter 19160000, Residual:0.00691318
Iter 19200000, Residual:0.00699376
Iter 19240000, Residual:0.00718754
Iter 19280000, Residual:0.00747608
Iter 19320000, Residual:0.00683848
Iter 19360000, Residual:0.00672491
Iter 19400000, Residual:0.00671955
Iter 19440000, Residual:0.00677706
Iter 19480000, Residual:0.00645996
Iter 19520000, Residual:0.00862969
Iter 19560000, Residual:0.00650743
Iter 19600000, Residual:0.00651006
Iter 19640000, Residual:0.00634079
Iter 19680000, Residual:0.00623509
Iter 19720000, Residual:0.00692659
Iter 19760000, Residual:0.00597604
Iter 19800000, Residual:0.00668095
Iter 19840000, Residual:0.00657897
Iter 19880000, Residual:0.00580963
Iter 19920000, Residual:0.00631278
Iter 19960000, Residual:0.00646447
Iter 20000000, Residual:0.00606428
Iter 20040000, Residual:0.00598034
Iter 20080000, Residual:0.00573149
Iter 20120000, Residual:0.00632429
Iter 20160000, Residual:0.00616933
Iter 20200000, Residual:0.00611347
Iter 20240000, Residual:0.00560669
Iter 20280000, Residual:0.00560878
Iter 20320000, Residual:0.00620839
Iter 20360000, Residual:0.00568634
Iter 20400000, Residual:0.00563233
Iter 20440000, Residual:0.00646497
Iter 20480000, Residual:0.00535896
Iter 20520000, Residual:0.00522622
Iter 20560000, Residual:0.00728843
Iter 20600000, Residual:0.00563144
Iter 20640000, Residual:0.00848808
Iter 20680000, Residual:0.00572761
Iter 20720000, Residual:0.00556472
Iter 20760000, Residual:0.00566383
Iter 20800000, Residual:0.00516795
Iter 20840000, Residual:0.00499827
Iter 20880000, Residual:0.00576432
Iter 20920000, Residual:0.00606737
Iter 20960000, Residual:0.00545168
Iter 21000000, Residual:0.00528591
Iter 21040000, Residual:0.00554118
Iter 21080000, Residual:0.00555847
Iter 21120000, Residual:0.00503675
Iter 21160000, Residual:0.004828
Iter 21200000, Residual:0.00501662
Iter 21240000, Residual:0.00480119
Iter 21280000, Residual:0.00485034
Iter 21320000, Residual:0.00470426
Iter 21360000, Residual:0.00494183
Iter 21400000, Residual:0.00495203
Iter 21440000, Residual:0.00455404
Iter 21480000, Residual:0.00461893
Iter 21520000, Residual:0.00455393
Iter 21560000, Residual:0.0055468
Iter 21600000, Residual:0.00483878
Iter 21640000, Residual:0.00430737
Iter 21680000, Residual:0.00415504
Iter 21720000, Residual:0.0041562
Iter 21760000, Residual:0.00414356
Iter 21800000, Residual:0.00435735
Iter 21840000, Residual:0.00482708
Iter 21880000, Residual:0.00408501
Iter 21920000, Residual:0.0041008
Iter 21960000, Residual:0.00433729
Iter 22000000, Residual:0.00403769
Iter 22040000, Residual:0.00459944
Iter 22080000, Residual:0.00427808
Iter 22120000, Residual:0.0043248
Iter 22160000, Residual:0.00401962
Iter 22200000, Residual:0.00389987
Iter 22240000, Residual:0.00412884
Iter 22280000, Residual:0.00374441
Iter 22320000, Residual:0.00443493
Iter 22360000, Residual:0.00426135
Iter 22400000, Residual:0.00388471
Iter 22440000, Residual:0.00368717
Iter 22480000, Residual:0.00382757
Iter 22520000, Residual:0.00370006
Iter 22560000, Residual:0.00399915
Iter 22600000, Residual:0.0034766
Iter 22640000, Residual:0.0038772
Iter 22680000, Residual:0.00404139
Iter 22720000, Residual:0.00375408
Iter 22760000, Residual:0.00407331
Iter 22800000, Residual:0.00347701
Iter 22840000, Residual:0.00336446
Iter 22880000, Residual:0.00382662
Iter 22920000, Residual:0.00400153
Iter 22960000, Residual:0.00376802
Iter 23000000, Residual:0.00394978
Iter 23040000, Residual:0.00346496
Iter 23080000, Residual:0.0034352
Iter 23120000, Residual:0.00334621
Iter 23160000, Residual:0.00346048
Iter 23200000, Residual:0.00351156
Iter 23240000, Residual:0.00316895
Iter 23280000, Residual:0.00324525
Iter 23320000, Residual:0.00356862
Iter 23360000, Residual:0.00332364
Iter 23400000, Residual:0.00325398
Iter 23440000, Residual:0.00332714
Iter 23480000, Residual:0.00342877
Iter 23520000, Residual:0.00334839
Iter 23560000, Residual:0.00308279
Iter 23600000, Residual:0.00321735
Iter 23640000, Residual:0.00302827
Iter 23680000, Residual:0.00348357
Iter 23720000, Residual:0.00366826
Iter 23760000, Residual:0.00365188
Iter 23800000, Residual:0.00300117
Iter 23840000, Residual:0.00299318
Iter 23880000, Residual:0.00290747
Iter 23920000, Residual:0.00271604
Iter 23960000, Residual:0.00283251
Iter 24000000, Residual:0.0026973
Iter 24040000, Residual:0.00263567
Iter 24080000, Residual:0.00269045
Iter 24120000, Residual:0.00264568
Iter 24160000, Residual:0.00302224
Iter 24200000, Residual:0.00257289
Iter 24240000, Residual:0.00267273
Iter 24280000, Residual:0.00302403
Iter 24320000, Residual:0.00275488
Iter 24360000, Residual:0.00274449
Iter 24400000, Residual:0.00258645
Iter 24440000, Residual:0.00271719
Iter 24480000, Residual:0.00342105
Iter 24520000, Residual:0.00258297
Iter 24560000, Residual:0.00246443
Iter 24600000, Residual:0.00299087
Iter 24640000, Residual:0.00227358
Iter 24680000, Residual:0.00245135
Iter 24720000, Residual:0.00258509
Iter 24760000, Residual:0.00237975
Iter 24800000, Residual:0.00294849
Iter 24840000, Residual:0.0024363
Iter 24880000, Residual:0.00226579
Iter 24920000, Residual:0.00234857
Iter 24960000, Residual:0.00252076
Iter 25000000, Residual:0.00235112
Iter 25040000, Residual:0.00218867
Iter 25080000, Residual:0.00245572
Iter 25120000, Residual:0.0023813
Iter 25160000, Residual:0.00245985
Iter 25200000, Residual:0.0021684
Iter 25240000, Residual:0.00235941
Iter 25280000, Residual:0.00213473
Iter 25320000, Residual:0.00231854
Iter 25360000, Residual:0.0021581
Iter 25400000, Residual:0.00287275
Iter 25440000, Residual:0.00222512
Iter 25480000, Residual:0.00222098
Iter 25520000, Residual:0.00226396
Iter 25560000, Residual:0.00215749
Iter 25600000, Residual:0.00227596
Iter 25640000, Residual:0.00210863
Iter 25680000, Residual:0.00209269
Iter 25720000, Residual:0.00238209
Iter 25760000, Residual:0.0020193
